2026-03-25 10:17:05 |     INFO | main.py:14 | Recherche en cours pour: Samsung
2026-03-25 10:17:05 |     INFO | main.py:25 | Structure JSON valide!
2026-03-25 10:17:05 |     INFO | main.py:30 | Données sauvegardées dans: data/samsung_results.json
2026-03-25 10:17:05 |     INFO | main.py:42 | --------------------------------------------------
2026-03-25 10:17:05 |     INFO | main.py:14 | Recherche en cours pour: Apple
2026-03-25 10:17:05 |     INFO | main.py:25 | Structure JSON valide!
2026-03-25 10:17:05 |     INFO | main.py:30 | Données sauvegardées dans: data/apple_results.json
2026-03-25 10:17:05 |     INFO | main.py:42 | --------------------------------------------------
2026-03-25 10:17:05 |     INFO | main.py:14 | Recherche en cours pour: Microsoft
2026-03-25 10:17:06 |     INFO | main.py:25 | Structure JSON valide!
2026-03-25 10:17:06 |     INFO | main.py:30 | Données sauvegardées dans: data/microsoft_results.json
2026-03-25 10:17:06 |     INFO | main.py:42 | --------------------------------------------------
