2026-04-16 00:12:23 |    ERROR | gemini_analyzer.py:160 | [PLAN ERREUR] apple: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01knf48fkbevxb2g4a4mdqhjp2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99535, Requested 1559. Please try again in 15m45.216s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-04-16 00:12:23 |    ERROR | gemini_analyzer.py:192 | Rating erreur: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01knf48fkbevxb2g4a4mdqhjp2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99534, Requested 764. Please try again in 4m17.471999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-04-16 18:34:16 |     INFO | gemini_analyzer.py:87 | [SWOT] Génération pour apple avec Groq...
2026-04-16 18:34:19 |     INFO | gemini_analyzer.py:101 | [SWOT OK] apple → 1788 caractères
2026-04-16 18:34:19 |     INFO | gemini_analyzer.py:143 | [PLAN] Génération pour apple avec Groq...
2026-04-16 18:34:21 |     INFO | gemini_analyzer.py:157 | [PLAN OK] apple → 1843 caractères
2026-04-16 18:35:43 |     INFO | gemini_analyzer.py:87 | [SWOT] Génération pour nour avec Groq...
2026-04-16 18:35:45 |     INFO | gemini_analyzer.py:101 | [SWOT OK] nour → 1302 caractères
2026-04-16 18:35:45 |     INFO | gemini_analyzer.py:143 | [PLAN] Génération pour nour avec Groq...
2026-04-16 18:35:46 |     INFO | gemini_analyzer.py:157 | [PLAN OK] nour → 1689 caractères
